REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DEMINDDSL,2020,0.10846
REGION1,DEMINDDSL,2021,0.10813
REGION1,DEMINDDSL,2022,0.10738
REGION1,DEMINDDSL,2023,0.10695
REGION1,DEMINDDSL,2024,0.10733
REGION1,DEMINDDSL,2025,0.10815
REGION1,DEMINDDSL,2026,0.10945
REGION1,DEMINDDSL,2027,0.11063
REGION1,DEMINDDSL,2028,0.11127
REGION1,DEMINDDSL,2029,0.11129
REGION1,DEMINDDSL,2030,0.11138
REGION1,DEMINDDSL,2031,0.11165
REGION1,DEMINDDSL,2032,0.11212
REGION1,DEMINDDSL,2033,0.11225
REGION1,DEMINDDSL,2034,0.11231
REGION1,DEMINDDSL,2035,0.11244
REGION1,DEMINDDSL,2036,0.11266
REGION1,DEMINDDSL,2037,0.11302
REGION1,DEMINDDSL,2038,0.11353
REGION1,DEMINDDSL,2039,0.11419
REGION1,DEMINDDSL,2040,0.11497
REGION1,DEMINDDSL,2041,0.114606
REGION1,DEMINDDSL,2042,0.114905
REGION1,DEMINDDSL,2043,0.115205
REGION1,DEMINDDSL,2044,0.115504
REGION1,DEMINDDSL,2045,0.115803
REGION1,DEMINDDSL,2046,0.116103
REGION1,DEMINDDSL,2047,0.116402
REGION1,DEMINDDSL,2048,0.116702
REGION1,DEMINDDSL,2049,0.117001
REGION1,DEMINDDSL,2050,0.1173
REGION1,DEMINDBIO,2020,0.16004
REGION1,DEMINDBIO,2021,0.16069
REGION1,DEMINDBIO,2022,0.16112
REGION1,DEMINDBIO,2023,0.16183
REGION1,DEMINDBIO,2024,0.16264
REGION1,DEMINDBIO,2025,0.16214
REGION1,DEMINDBIO,2026,0.16192
REGION1,DEMINDBIO,2027,0.16182
REGION1,DEMINDBIO,2028,0.16168
REGION1,DEMINDBIO,2029,0.16108
REGION1,DEMINDBIO,2030,0.16031
REGION1,DEMINDBIO,2031,0.15932
REGION1,DEMINDBIO,2032,0.15818
REGION1,DEMINDBIO,2033,0.1569
REGION1,DEMINDBIO,2034,0.15539
REGION1,DEMINDBIO,2035,0.1541
REGION1,DEMINDBIO,2036,0.15278
REGION1,DEMINDBIO,2037,0.15147
REGION1,DEMINDBIO,2038,0.15021
REGION1,DEMINDBIO,2039,0.14902
REGION1,DEMINDBIO,2040,0.14787
REGION1,DEMINDBIO,2041,0.147372
REGION1,DEMINDBIO,2042,0.146277
REGION1,DEMINDBIO,2043,0.145181
REGION1,DEMINDBIO,2044,0.144085
REGION1,DEMINDBIO,2045,0.14299
REGION1,DEMINDBIO,2046,0.141894
REGION1,DEMINDBIO,2047,0.140799
REGION1,DEMINDBIO,2048,0.139703
REGION1,DEMINDBIO,2049,0.138608
REGION1,DEMINDBIO,2050,0.137512
REGION1,DEMINDNGS,2020,0.22486
REGION1,DEMINDNGS,2021,0.21932
REGION1,DEMINDNGS,2022,0.21392
REGION1,DEMINDNGS,2023,0.21163
REGION1,DEMINDNGS,2024,0.22134
REGION1,DEMINDNGS,2025,0.24283
REGION1,DEMINDNGS,2026,0.27513
REGION1,DEMINDNGS,2027,0.28317
REGION1,DEMINDNGS,2028,0.28461
REGION1,DEMINDNGS,2029,0.28656
REGION1,DEMINDNGS,2030,0.3047
REGION1,DEMINDNGS,2031,0.33046
REGION1,DEMINDNGS,2032,0.34653
REGION1,DEMINDNGS,2033,0.34533
REGION1,DEMINDNGS,2034,0.34445
REGION1,DEMINDNGS,2035,0.34461
REGION1,DEMINDNGS,2036,0.34459
REGION1,DEMINDNGS,2037,0.34424
REGION1,DEMINDNGS,2038,0.34423
REGION1,DEMINDNGS,2039,0.34449
REGION1,DEMINDNGS,2040,0.34482
REGION1,DEMINDNGS,2041,0.368255
REGION1,DEMINDNGS,2042,0.373721
REGION1,DEMINDNGS,2043,0.379187
REGION1,DEMINDNGS,2044,0.384653
REGION1,DEMINDNGS,2045,0.390119
REGION1,DEMINDNGS,2046,0.395585
REGION1,DEMINDNGS,2047,0.401051
REGION1,DEMINDNGS,2048,0.406517
REGION1,DEMINDNGS,2049,0.411983
REGION1,DEMINDNGS,2050,0.417449
REGION1,DEMINDELCB02,2020,0.10114
REGION1,DEMINDELCB02,2021,0.1014
REGION1,DEMINDELCB02,2022,0.10177
REGION1,DEMINDELCB02,2023,0.10235
REGION1,DEMINDELCB02,2024,0.10408
