REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
REGION1,SEA1D,DEMAGRDSL,DSL,2020,15.030303
REGION1,SEA1D,DEMAGRDSL,DSL,2021,15.775758
REGION1,SEA1D,DEMAGRDSL,DSL,2022,16.431313
REGION1,SEA1D,DEMAGRDSL,DSL,2023,16.820202
REGION1,SEA1D,DEMAGRDSL,DSL,2024,17.771717
REGION1,SEA1D,DEMAGRDSL,DSL,2025,18.324242
REGION1,SEA1D,DEMAGRDSL,DSL,2026,18.955556
REGION1,SEA1D,DEMAGRDSL,DSL,2027,19.626263
REGION1,SEA1D,DEMAGRDSL,DSL,2028,20.338384
REGION1,SEA1D,DEMAGRDSL,DSL,2029,20.933333
REGION1,SEA1D,DEMAGRDSL,DSL,2030,21.616162
REGION1,SEA1D,DEMAGRDSL,DSL,2031,22.282828
REGION1,SEA1D,DEMAGRDSL,DSL,2032,22.936364
REGION1,SEA1D,DEMAGRDSL,DSL,2033,23.584848
REGION1,SEA1D,DEMAGRDSL,DSL,2034,24.257576
REGION1,SEA1D,DEMAGRDSL,DSL,2035,24.911111
REGION1,SEA1D,DEMAGRDSL,DSL,2036,25.568687
REGION1,SEA1D,DEMAGRDSL,DSL,2037,26.228283
REGION1,SEA1D,DEMAGRDSL,DSL,2038,26.889899
REGION1,SEA1D,DEMAGRDSL,DSL,2039,27.545455
REGION1,SEA1D,DEMAGRDSL,DSL,2040,28.206061
REGION1,SEA1D,DEMAGRDSL,DSL,2041,28.864646
REGION1,SEA1D,DEMAGRDSL,DSL,2042,29.523232
REGION1,SEA1D,DEMAGRDSL,DSL,2043,30.181818
REGION1,SEA1D,DEMAGRDSL,DSL,2044,30.841414
REGION1,SEA1D,DEMAGRDSL,DSL,2045,31.5
REGION1,SEA1D,DEMAGRDSL,DSL,2046,32.158586
REGION1,SEA1D,DEMAGRDSL,DSL,2047,32.818182
REGION1,SEA1D,DEMAGRDSL,DSL,2048,33.476768
REGION1,SEA1D,DEMAGRDSL,DSL,2049,34.135354
REGION1,SEA1D,DEMAGRDSL,DSL,2050,34.794949
REGION1,SEA1D,DEMAGRELCB02,ELCB02,2027,2.7134186e-07
REGION1,SEA1D,DEMAGRELCB02,ELCB02,2028,-1.5271353e-08
REGION1,SEA1D,DEMAGRELCB02,ELCB02,2030,-1.2281373e-07
REGION1,SEA1D,DEMAGRELCB02,ELCB02,2035,-2.5739589e-08
REGION1,SEA1D,DEMAGRGWTBC1,AGRELCB02,2022,-8.604715346999999e-10
REGION1,SEA1D,DEMAGRGWTBC1,AGRELCB02,2028,-1.5271352695e-08
REGION1,SEA1D,DEMAGRGWTBC1,AGRELCB02,2029,-5.855413014e-09
REGION1,SEA1D,DEMAGRGWTBC1,AGRELCB02,2036,-3.916775187e-09
REGION1,SEA1D,DEMAGRGWTBC1,AGRELCB02,2037,-7.764953971e-09
REGION1,SEA1D,DEMAGRGWTBC1,AGRELCB02,2038,-2.5766043909999998e-08
REGION1,SEA1D,DEMAGRGWTBC1,AGRELCB02,2039,-2.346898451e-09
REGION1,SEA1D,DEMAGRGWTBC1,AGRELCB02,2040,7.229954412e-09
REGION1,SEA1D,DEMAGRGWTBC1,AGRELCB02,2042,-3.422584079e-09
REGION1,SEA1D,DEMAGRGWTBC1,AGRELCB02,2043,-1.938295979e-09
REGION1,SEA1D,DEMAGRGWTBC1,AGRELCB02,2044,-8.739676799e-10
