REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
REGION1,SEA1D,DEMAGRDSL,DSL,2020,15.030303
REGION1,SEA1D,DEMAGRDSL,DSL,2021,15.775758
REGION1,SEA1D,DEMAGRDSL,DSL,2022,16.431313
REGION1,SEA1D,DEMAGRDSL,DSL,2023,16.820202
REGION1,SEA1D,DEMAGRDSL,DSL,2024,17.771717
REGION1,SEA1D,DEMAGRDSL,DSL,2025,18.324242
REGION1,SEA1D,DEMAGRDSL,DSL,2026,18.955556
REGION1,SEA1D,DEMAGRDSL,DSL,2027,19.626263
REGION1,SEA1D,DEMAGRDSL,DSL,2028,20.338384
REGION1,SEA1D,DEMAGRDSL,DSL,2029,20.933333
REGION1,SEA1D,DEMAGRDSL,DSL,2030,21.616162
REGION1,SEA1D,DEMAGRDSL,DSL,2031,22.282828
REGION1,SEA1D,DEMAGRDSL,DSL,2032,22.936364
REGION1,SEA1D,DEMAGRDSL,DSL,2033,23.584848
REGION1,SEA1D,DEMAGRDSL,DSL,2034,24.257576
REGION1,SEA1D,DEMAGRDSL,DSL,2035,24.911111
REGION1,SEA1D,DEMAGRDSL,DSL,2036,25.568687
REGION1,SEA1D,DEMAGRDSL,DSL,2037,26.228283
REGION1,SEA1D,DEMAGRDSL,DSL,2038,26.889899
REGION1,SEA1D,DEMAGRDSL,DSL,2039,27.545455
REGION1,SEA1D,DEMAGRDSL,DSL,2040,28.206061
REGION1,SEA1D,DEMAGRDSL,DSL,2041,28.864646
REGION1,SEA1D,DEMAGRDSL,DSL,2042,29.523232
REGION1,SEA1D,DEMAGRDSL,DSL,2043,30.181818
REGION1,SEA1D,DEMAGRDSL,DSL,2044,30.841414
REGION1,SEA1D,DEMAGRDSL,DSL,2045,31.5
REGION1,SEA1D,DEMAGRDSL,DSL,2046,32.158586
REGION1,SEA1D,DEMAGRDSL,DSL,2047,32.818182
REGION1,SEA1D,DEMAGRDSL,DSL,2048,33.476768
REGION1,SEA1D,DEMAGRDSL,DSL,2049,34.135354
REGION1,SEA1D,DEMAGRDSL,DSL,2050,34.794949
REGION1,SEA1D,DEMAGRELCB02,ELCB02,2035,-2.6071089e-08
REGION1,SEA1D,DEMAGRELCB02,ELCB02,2037,1.5948947e-08
REGION1,SEA1D,DEMAGRELCB02,ELCB02,2038,-1.6374678e-08
REGION1,SEA1D,DEMAGRELCB02,ELCB02,2041,-1.6692505e-08
REGION1,SEA1D,DEMAGRELCB02,ELCB02,2042,3.1714502e-08
REGION1,SEA1D,DEMAGRELCB02,ELCB02,2043,6.4251802e-08
REGION1,SEA1D,DEMAGRGWTBC1,AGRELCB02,2029,-6.016499888e-09
REGION1,SEA1D,DEMAGRGWTBC1,AGRELCB02,2032,-1.901909581e-09
REGION1,SEA1D,DEMAGRGWTBC1,AGRELCB02,2035,-2.369611448e-08
REGION1,SEA1D,DEMAGRGWTBC1,AGRELCB02,2036,-2.255573481e-08
REGION1,SEA1D,DEMAGRGWTBC1,AGRELCB02,2037,1.5948946639e-08
REGION1,SEA1D,DEMAGRGWTBC1,AGRELCB02,2038,-1.6374677841e-08
REGION1,SEA1D,DEMAGRGWTBC1,AGRELCB02,2039,-9.187729498999999e-09
REGION1,SEA1D,DEMAGRGWTBC1,AGRELCB02,2041,3.777655333999999e-09
REGION1,SEA1D,DEMAGRGWTBC1,AGRELCB02,2042,9.33417521e-09
