REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,FUEL,YEAR,VALUE
REGION1,SEA1D,DEMAGRDSL,1,AGRDSL,2020,15.030303
REGION1,SEA1D,DEMAGRDSL,1,AGRDSL,2021,15.775758
REGION1,SEA1D,DEMAGRDSL,1,AGRDSL,2022,16.431313
REGION1,SEA1D,DEMAGRDSL,1,AGRDSL,2023,16.820202
REGION1,SEA1D,DEMAGRDSL,1,AGRDSL,2024,17.771717
REGION1,SEA1D,DEMAGRDSL,1,AGRDSL,2025,18.324242
REGION1,SEA1D,DEMAGRDSL,1,AGRDSL,2026,18.955556
REGION1,SEA1D,DEMAGRDSL,1,AGRDSL,2027,19.626263
REGION1,SEA1D,DEMAGRDSL,1,AGRDSL,2028,20.338384
REGION1,SEA1D,DEMAGRDSL,1,AGRDSL,2029,20.933333
REGION1,SEA1D,DEMAGRDSL,1,AGRDSL,2030,21.616162
REGION1,SEA1D,DEMAGRDSL,1,AGRDSL,2031,22.282828
REGION1,SEA1D,DEMAGRDSL,1,AGRDSL,2032,22.936364
REGION1,SEA1D,DEMAGRDSL,1,AGRDSL,2033,23.584848
REGION1,SEA1D,DEMAGRDSL,1,AGRDSL,2034,24.257576
REGION1,SEA1D,DEMAGRDSL,1,AGRDSL,2035,24.911111
REGION1,SEA1D,DEMAGRDSL,1,AGRDSL,2036,25.568687
REGION1,SEA1D,DEMAGRDSL,1,AGRDSL,2037,26.228283
REGION1,SEA1D,DEMAGRDSL,1,AGRDSL,2038,26.889899
REGION1,SEA1D,DEMAGRDSL,1,AGRDSL,2039,27.545455
REGION1,SEA1D,DEMAGRDSL,1,AGRDSL,2040,28.206061
REGION1,SEA1D,DEMAGRDSL,1,AGRDSL,2041,28.864646
REGION1,SEA1D,DEMAGRDSL,1,AGRDSL,2042,29.523232
REGION1,SEA1D,DEMAGRDSL,1,AGRDSL,2043,30.181818
REGION1,SEA1D,DEMAGRDSL,1,AGRDSL,2044,30.841414
REGION1,SEA1D,DEMAGRDSL,1,AGRDSL,2045,31.5
REGION1,SEA1D,DEMAGRDSL,1,AGRDSL,2046,32.158586
REGION1,SEA1D,DEMAGRDSL,1,AGRDSL,2047,32.818182
REGION1,SEA1D,DEMAGRDSL,1,AGRDSL,2048,33.476768
REGION1,SEA1D,DEMAGRDSL,1,AGRDSL,2049,34.135354
REGION1,SEA1D,DEMAGRDSL,1,AGRDSL,2050,34.794949
REGION1,SEA1D,DEMAGRSURBC1,1,AGRWATBC1,2020,0.41158008
REGION1,SEA1D,DEMAGRSURBC1,1,AGRWATBC1,2021,0.48050356
REGION1,SEA1D,DEMAGRSURBC1,1,AGRWATBC1,2022,0.50668143
REGION1,SEA1D,DEMAGRSURBC1,1,AGRWATBC1,2023,0.53474633
REGION1,SEA1D,DEMAGRSURBC1,1,AGRWATBC1,2024,0.56552781
REGION1,SEA1D,DEMAGRSURBC1,1,AGRWATBC1,2025,0.59114465
REGION1,SEA1D,DEMAGRSURBC1,1,AGRWATBC1,2026,0.624865
REGION1,SEA1D,DEMAGRSURBC1,1,AGRWATBC1,2027,0.65821459
REGION1,SEA1D,DEMAGRSURBC1,1,AGRWATBC1,2028,1.6548734
REGION1,SEA1D,DEMAGRSURBC1,1,AGRWATBC1,2029,1.6869029
REGION1,SEA1D,DEMAGRSURBC1,1,AGRWATBC1,2030,1.7235242
REGION1,SEA1D,DEMAGRSURBC1,1,AGRWATBC1,2031,1.759473
