REGION,TECHNOLOGY,TIMESLICE,YEAR,VALUE
REGION1,INFLOW01,1,2021,0.3471608387302253
REGION1,INFLOW01,2,2021,0.3474527380703203
REGION1,INFLOW01,3,2021,0.3466789229391492
REGION1,INFLOW01,4,2021,0.3431259222873303
REGION1,INFLOW01,5,2021,0.3426012314344719
REGION1,INFLOW01,6,2021,0.3412381195845609
REGION1,INFLOW01,7,2021,0.3407973915644017
REGION1,INFLOW01,8,2021,0.3384393371538855
REGION1,INFLOW01,9,2021,0.3356684813724622
REGION1,INFLOW01,10,2021,0.3321709210400696
REGION1,INFLOW01,11,2021,0.3349326162712744
REGION1,INFLOW01,12,2021,0.3341480790161827
REGION1,INFLOW01,13,2021,0.3534913537710646
REGION1,INFLOW01,14,2021,0.3531781579810054
REGION1,INFLOW01,15,2021,0.3348397015771438
REGION1,INFLOW01,16,2021,0.3408587238096153
REGION1,INFLOW01,17,2021,0.32342285095888
REGION1,INFLOW01,18,2021,0.278680506072704
REGION1,INFLOW01,19,2021,0.1830849507888691
REGION1,INFLOW01,20,2021,0.194332923945326
REGION1,INFLOW01,21,2021,0.2085560909332129
REGION1,INFLOW01,22,2021,0.2044990049841596
REGION1,INFLOW01,23,2021,0.1942865257507355
REGION1,INFLOW01,24,2021,0.1899025096021168
REGION1,INFLOW01,1,2022,0.3471608387302253
REGION1,INFLOW01,2,2022,0.3474527380703203
REGION1,INFLOW01,3,2022,0.3466789229391492
REGION1,INFLOW01,4,2022,0.3431259222873303
REGION1,INFLOW01,5,2022,0.3426012314344719
REGION1,INFLOW01,6,2022,0.3412381195845609
REGION1,INFLOW01,7,2022,0.3407973915644017
REGION1,INFLOW01,8,2022,0.3384393371538855
REGION1,INFLOW01,9,2022,0.3356684813724622
REGION1,INFLOW01,10,2022,0.3321709210400696
REGION1,INFLOW01,11,2022,0.3349326162712744
REGION1,INFLOW01,12,2022,0.3341480790161827
REGION1,INFLOW01,13,2022,0.3534913537710646
REGION1,INFLOW01,14,2022,0.3531781579810054
REGION1,INFLOW01,15,2022,0.3348397015771438
REGION1,INFLOW01,16,2022,0.3408587238096153
REGION1,INFLOW01,17,2022,0.32342285095888
REGION1,INFLOW01,18,2022,0.278680506072704
REGION1,INFLOW01,19,2022,0.1830849507888691
REGION1,INFLOW01,20,2022,0.194332923945326
REGION1,INFLOW01,21,2022,0.2085560909332129
REGION1,INFLOW01,22,2022,0.2044990049841596
REGION1,INFLOW01,23,2022,0.1942865257507355
REGION1,INFLOW01,24,2022,0.1899025096021168
REGION1,INFLOW01,1,2023,0.3471608387302253
REGION1,INFLOW01,2,2023,0.3474527380703203
REGION1,INFLOW01,3,2023,0.3466789229391492
REGION1,INFLOW01,4,2023,0.3431259222873303
REGION1,INFLOW01,5,2023,0.3426012314344719
REGION1,INFLOW01,6,2023,0.3412381195845609
REGION1,INFLOW01,7,2023,0.3407973915644017
REGION1,INFLOW01,8,2023,0.3384393371538855
REGION1,INFLOW01,9,2023,0.3356684813724622
REGION1,INFLOW01,10,2023,0.3321709210400696
REGION1,INFLOW01,11,2023,0.3349326162712744
REGION1,INFLOW01,12,2023,0.3341480790161827
REGION1,INFLOW01,13,2023,0.3534913537710646
REGION1,INFLOW01,14,2023,0.3531781579810054
REGION1,INFLOW01,15,2023,0.3348397015771438
