REGION,TECHNOLOGY,YEAR,VALUE
REGION,TECHNOLOGY,YEAR,VALUE
REGION1,PWRBIOB01,2021,0.3
REGION1,PWRBIOB01,2022,0.3
REGION1,PWRBIOB01,2023,0.3
REGION1,PWRBIOB01,2024,0.3
REGION1,PWRBIOB01,2025,0.3
REGION1,PWRBIOB01,2026,0.3
REGION1,PWRBIOB02,2021,13.4
REGION1,PWRBIOB02,2022,13.4
REGION1,PWRBIOB02,2023,13.4
REGION1,PWRBIOB02,2024,12.5
REGION1,PWRBIOB02,2025,12.5
REGION1,PWRBIOB02,2026,12.5
REGION1,PWRBIOB02,2027,12.5
REGION1,PWRBIOB02,2028,12.5
REGION1,PWRBIOB02,2029,12.5
REGION1,PWRBIOB02,2030,12.5
REGION1,PWRBIOB02,2031,12.5
REGION1,PWRBIOB02,2032,12.5
REGION1,PWRBIOB02,2033,12.5
REGION1,PWRBIOB02,2034,12.5
REGION1,PWRBIOB02,2035,12.5
REGION1,PWRNGSB01,2021,4.6
REGION1,PWRNGSB01,2022,4.6
REGION1,PWRNGSB01,2023,4.6
REGION1,PWRNGSB01,2024,1.8
REGION1,PWRNGSB01,2025,1.8
REGION1,PWRNGSB02,2021,1.4
REGION1,PWRNGSB02,2022,1.4
REGION1,PWRNGSB02,2023,1.4
REGION1,PWRNGSB02,2024,1.4
REGION1,PWRNGSB02,2025,1.4
